PMID,abstract,journal,mesh_UIds,mesh_terms,paper,qual_UIds,qual_terms,webpage,year,is_useful,source,measmethod
10837303.0,"Human milk oligosaccharides (HMOs) show a complexity and variety not found in milk of any other species. Although progress has been made in the past 3 decades with regard to identification and structural characterization of HMOs, not much is known about the physiologic functions of HMOs.",The American journal of clinical nutrition,"['D000818', 'D002852', 'D004063', 'D004064', 'D005260', 'D006801', 'D006868', 'D007422', 'D008871', 'D008895', 'D009844', 'D010189', 'D011134', 'D019032', 'D013552']","['Animals', 'Chromatography, Ion Exchange', 'Digestion', 'Digestive System', 'Female', 'Humans', 'Hydrolysis', 'Intestines', 'Microvilli', 'Milk, Human', 'Oligosaccharides', 'Pancreatic Juice', 'Polysaccharides', 'Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization', 'Swine']",Human milk oligosaccharides are resistant to enzymatic hydrolysis in the upper gastrointestinal tract.,"[None, None, None, 'Q000201', None, None, None, 'Q000648', 'Q000201', 'Q000737', 'Q000378', 'Q000201', 'Q000378', None, None]","[None, None, None, 'enzymology', None, None, None, 'ultrastructure', 'enzymology', 'chemistry', 'metabolism', 'enzymology', 'metabolism', None, None]",https://www.ncbi.nlm.nih.gov/pubmed/10837303,2000,0.0,Engfer_00,[]
32192176.0,"Human milk oligosaccharide (HMO) composition varies throughout lactation and can be influenced by maternal characteristics. This study describes HMO variation up to three months postpartum and explores the influences of maternal sociodemographic and anthropometric characteristics in a Brazilian prospective cohort. We followed 101 subjects from 28-35 gestational weeks (baseline) and throughout lactation at 2-8 (visit 1), 28-50 (visit 2) and 88-119 days postpartum (visit 3). Milk samples were collected at visits 1, 2 and 3, and 19 HMOs were quantified usinghigh-performance liquid chromatography with fluorescence detection (HPLC-FL). Friedman post-hoc test, Spearman rank correlation for maternal characteristics and HMOs and non-negative matrix factorization (NMF) were used to define the HMO profile. Most women were secretors (89.1%) and presented high proportion of 2'-fucosyllactose (2ꞌFL) at all three sample times, while lacto-N-tetraose (LNT, 2-8 days) and lacto-N-fucopentaose II (LNFPII, 28-50 and 88-119 days) were the most abundant HMOs in non-secretor women. Over the course of lactation, total HMO weight concentrations (g/L) decreased, but total HMO molar concentrations (mmol/L) increased, highlighting differential changes in HMO composition over time. In addition, maternal pre-pregnancy body mass index (BMI) and parity influence the HMO composition in healthy women in this Brazilian cohort.",Nutrients,[],[],Human Milk Oligosaccharide Profile Variation Throughout Postpartum in Healthy Women in a Brazilian Cohort.,[],[],https://www.ncbi.nlm.nih.gov/pubmed/32192176,2020,1.0,Ferreira_20,['HPLC']
28194267.0,This study was performed to measure fat-soluble vitamins and minerals in breast milk of Korean lactating mothers who exclusively breastfed their babies.,Nutrition research and practice,[],[],"Retinol, α-tocopherol, and selected minerals in breast milk of lactating women with full-term infants in South Korea.",[],[],https://www.ncbi.nlm.nih.gov/pubmed/28194267,2019,1.0,Kim_17b,[]
16537962.0,"A number of major scientific advances have been realized in the last 25 yr in determining the opportunities and limitations of altering milk composition through nutritional manipulation. Because of the greater sensitivity of milk fat to dietary manipulation than either protein or lactose, nutritional control of milk fat content and fatty acid composition received a great deal of attention. New information emerged linking ruminal production of trans fatty acid isomers with milk fat depression. As a result, research on fatty acid biohydrogenation intensified yielding new insight on the origin of specific trans fatty acid isomers originating from ruminal biohydrogenation and how these isomers were modified by the action of mammary enzymes. The discovery of conjugated linoleic acid (CLA) as a potent anticarcinogen also led to extensive work on enhancing its concentration in milk through nutritional manipulation and discovering the physiological effects of specific CLA isomers. New protected fats were developed in recent years that were designed to resist biohydrogenation and enhance the concentration of unsaturated fatty acids in milk. The nutritional factors receiving the most attention during the last 25 yr for their influence on milk protein content were forage-to-concentrate ratio, the amount and source of dietary protein, and the amount and source of dietary fat. New insights were tested on modes of action whereby fat supplements caused a decline in protein concentration. Changes in milk lactose concentration occur only in extreme and unusual feeding situations, but the basic biology of lactose synthesis and regulation are still being explored using modern molecular techniques. This paper highlights the major advances in controlling milk composition by dietary manipulation and how it influences the entire animal system from practical feeding studies to basic cellular work on mammary tissue metabolism.",Journal of dairy science,"['D000821', 'D000824', 'D000818', 'D002417', 'D003612', 'D004032', 'D004041', 'D004044', 'D002523', 'D005223', 'D005227', 'D005260', 'D006865', 'D007785', 'D008321', 'D008892', 'D008894', 'D010938', 'D012417', 'D012639']","['Animal Feed', 'Animal Nutritional Physiological Phenomena', 'Animals', 'Cattle', 'Dairying', 'Diet', 'Dietary Fats', 'Dietary Proteins', 'Edible Grain', 'Fats', 'Fatty Acids', 'Female', 'Hydrogenation', 'Lactose', 'Mammary Glands, Animal', 'Milk', 'Milk Proteins', 'Plant Oils', 'Rumen', 'Seeds']",Major advances in nutrition: impact on milk composition.,"[None, None, None, 'Q000502', 'Q000639', None, 'Q000008', 'Q000008', None, 'Q000032', 'Q000032', None, None, 'Q000032', 'Q000378', 'Q000737', 'Q000032', 'Q000008', 'Q000378', None]","[None, None, None, 'physiology', 'trends', None, 'administration & dosage', 'administration & dosage', None, 'analysis', 'analysis', None, None, 'analysis', 'metabolism', 'chemistry', 'analysis', 'administration & dosage', 'metabolism', None]",https://www.ncbi.nlm.nih.gov/pubmed/16537962,2006,0.0,Jensen_05,['GC']
22085741.0,Little is known about the intensity of oxidative damage in human milk resulting from maternal oxidative stress. The aim of our study was to explore the changes in Total Antioxidant Status (TAS) and concentrations of antioxidative vitamins and isoprostanes (markers of oxidative stress) in human colostrum and mature milk.,Early human development,"['D000293', 'D000328', 'D000975', 'D015415', 'D002851', 'D003126', 'D005260', 'D006801', 'D028421', 'D007774', 'D015227', 'D008137', 'D008895', 'D018384', 'D049590', 'D014801', 'D014810', 'D055815']","['Adolescent', 'Adult', 'Antioxidants', 'Biomarkers', 'Chromatography, High Pressure Liquid', 'Colostrum', 'Female', 'Humans', 'Isoprostanes', 'Lactation', 'Lipid Peroxidation', 'Longitudinal Studies', 'Milk, Human', 'Oxidative Stress', 'Postpartum Period', 'Vitamin A', 'Vitamin E', 'Young Adult']","Longitudinal study of vitamins A, E and lipid oxidative damage in human milk throughout lactation.","[None, None, 'Q000032', 'Q000032', None, 'Q000737', None, None, 'Q000032', 'Q000378', None, None, 'Q000737', 'Q000502', None, 'Q000032', 'Q000032', None]","[None, None, 'analysis', 'analysis', None, 'chemistry', None, None, 'analysis', 'metabolism', None, None, 'chemistry', 'physiology', None, 'analysis', 'analysis', None]",https://www.ncbi.nlm.nih.gov/pubmed/22085741,2012,1.0,Szlagatys_12,"['HPLC', 'ELISA']"
14599042.0,"The neonatal intestinal microbiota is a complex ecosystem composed of numerous genera, species and strains of bacteria. This enormous cell mass performs a variety of unique activities that affect both the colonic and systemic physiology. Its primary activities include nutritive, metabolic, immunological and protective functions. Most studies of infants have been based on faecal samples using the classical plating techniques with culturing on specific media. The limitations of these methods must be taken into account when evaluating the varying results of the different studies. The establishment of the gut microbial population is not strictly a succession in the ecological sense; it is rather a complex process influenced by microbial and host interactions and by external and internal factors. The climax intestinal flora is attained in successive stages. The foetal intestine is sterile and bathed in swallowed amniotic fluid. Following delivery, multiple different antigens challenge the intestine of the newborn. The maternal intestinal flora is a source of bacteria for the neonatal gut. The bacterial flora is usually heterogeneous during the first few days of life, independently of feeding habits. After the first week of life, a stable bacterial flora is usually established. In full-term infants a diet of breast milk induces the development of a flora rich in Bifidobacterium spp. Other obligate anaerobes, such as Clostridium spp. and Bacteroides spp., are more rarely isolated and also enterobacteria and enterococci are relatively few. During the corresponding period, formula-fed babies are often colonized by other anaerobes in addition to bifidobacteria and by facultatively anaerobic bacteria; the development of a ""bifidus flora"" is unusual. In other studies the presence of a consistent number of bifidobacteria in infants delivered in large urban hospitals has not been demonstrated, whether the babies were bottle fed or exclusively breastfed. The predominant faecal bacteria were coliforms and bacteroides. According to these studies, environmental factors may be more important than breastfeeding in gut colonization after delivery. Environmental factors are indeed extremely important for the intestinal colonization of infants born by caesarean section. In these infants, the establishment of a stable flora characterized by a low incidence of Bacteroides spp. and by the isolation of few other bacteria is consistently delayed. In extremely low-birthweight infants, hospitalization in neonatal intensive care units, characterized by prolonged antibiotic therapy, parenteral nutrition, delayed oral feedings and intubation seems to affect the composition of the intestinal microbiota. The gut is colonized by a small number of bacterial species; Lactobacillus and Bifidobacteria spp. are seldom, if ever, identified. According to the few studies so far performed, the predominant species are Enterococcus faecalis, E. coli, Enterobacter cloacae, Klebsiella pneumoniae, Staphylococcus epidermidis and Staphylococcus haemolyticus. Hygienic conditions and antimicrobial procedures strongly influence the intestinal colonization pattern.","Acta paediatrica (Oslo, Norway : 1992). Supplement","['D000900', 'D001942', 'D036861', 'D005260', 'D006801', 'D006920', 'D041943', 'D007231', 'D007234', 'D007422', 'D011247']","['Anti-Bacterial Agents', 'Breast Feeding', 'Delivery, Obstetric', 'Female', 'Humans', 'Hygiene', 'Infant Formula', 'Infant, Newborn', 'Infant, Premature', 'Intestines', 'Pregnancy']",Intestinal microflora in early infancy: composition and development.,"['Q000494', None, None, None, None, None, None, None, None, 'Q000382', None]","['pharmacology', None, None, None, None, None, None, None, None, 'microbiology', None]",https://www.ncbi.nlm.nih.gov/pubmed/14599042,2004,0.0,Fanaro_03,[]
25651488.0,This study tested the hypothesis that the fecal bacterial genera of breast-fed (BF) and formula-fed (FF) infants differ and that human milk oligosaccharides (HMOs) modulate the microbiota of BF infants.,Journal of pediatric gastroenterology and nutrition,"['D001942', 'D005243', 'D005248', 'D005260', 'D000069196', 'D006801', 'D007223', 'D041943', 'D008297', 'D008895', 'D009844']","['Breast Feeding', 'Feces', 'Feeding Methods', 'Female', 'Gastrointestinal Microbiome', 'Humans', 'Infant', 'Infant Formula', 'Male', 'Milk, Human', 'Oligosaccharides']",Fecal microbiota composition of breast-fed infants is correlated with human milk oligosaccharides consumed.,"[None, 'Q000382', None, None, None, None, None, 'Q000008', None, None, 'Q000032']","[None, 'microbiology', None, None, None, None, None, 'administration & dosage', None, None, 'analysis']",https://www.ncbi.nlm.nih.gov/pubmed/25651488,2016,1.0,Wang_15,['HPLC']
19841193.0,"The 6 main milk proteins in cattle are encoded by highly polymorphic genes characterized by several nonsynonymous and synonymous mutations, with up to 47 protein variants identified. Such an extensive variation was used for linkage analysis with the description of the casein cluster more than 30 yr ago and has been applied to animal breeding for several years. Casein haplotype effects on productive traits have been investigated considering information on the whole casein complex. Moreover, mutations within the noncoding sequences have been shown to affect the specific protein expression and, as a consequence, milk composition and cheesemaking. Milk protein variants are also a useful tool for breed characterization, diversity, and phylogenetic studies. In addition, they are involved in various aspects of human nutrition. First, the occurrence of alleles associated with a reduced content of different caseins might be exploited for the production of milk with particular nutritional qualities; that is, hypoallergenic milk. On the other hand, the frequency of these alleles can be decreased by selection of sires using simple DNA tests, thereby increasing the casein content in milk used for cheesemaking. Furthermore, the biological activity of peptides released from milk protein digestion can be affected by amino acid exchanges or deletions resulting from gene mutations. Finally, the gene-culture coevolution between cattle milk protein genes and human lactase genes, which has been recently highlighted, is impressive proof of the nonrandom occurrence of milk protein genetic variation over the centuries.",Journal of dairy science,"['D000818', 'D001947', 'D002417', 'D002611', 'D019143', 'D014644', 'D005838', 'D006801', 'D008894', 'D009747', 'D011110']","['Animals', 'Breeding', 'Cattle', 'Cheese', 'Evolution, Molecular', 'Genetic Variation', 'Genotype', 'Humans', 'Milk Proteins', 'Nutritional Physiological Phenomena', 'Polymorphism, Genetic']",Invited review: milk protein polymorphisms in cattle: effect on animal breeding and human nutrition.,"[None, None, 'Q000235', 'Q000592', None, None, None, None, 'Q000235', None, 'Q000235']","[None, None, 'genetics', 'standards', None, None, None, None, 'genetics', None, 'genetics']",https://www.ncbi.nlm.nih.gov/pubmed/19841193,2010,0.0,Caroli_09,[]
30785913.0,"Breast milk is considered the gold standard nutritional resource for very low birth weight (VLBW) infants in terms of nutrients and protective factors. If mother's milk is not available, the second choice is donated and fortified human milk (HM) from the Human Milk Bank (HMB). This study hypothesized that HM could be lyophilized and used as an additive to increase the levels of macronutrients and micronutrients available to VLBW infants. This study aimed to constitute a lyophilized HM concentrate and determine the osmolality and the concentration of macronutrients and micronutrients in HM samples at ""baseline"" and in ""HM concentrates"", analyzed immediately (HMCI), and after 3 (HMC3m) and 6 (HMC6m) months of freezing. Osmolality was verified using the freezing point osmometric method. Macronutrient quantification was performed using the MIRIS Human Milk Analyzer. Micronutrients were determined by Flame Atomic Absorption Spectrophotometry and by the automated colorimetric method. Bayesian linear mixed effect models were adjusted using OpenBUGS to estimate mean differences and 95% credibility intervals (CrI) of osmolality and of macro- and micronutrients between the types of HM samples. A comparison of dosage values showed a significant increase between HM baseline and HMCI, HMC3m, and HMC6m. Comparing HM baseline and HMCI highlighted the increase in energy content and the concentration of carbohydrates and total lipids. The Ca and P contents increased and the levels of energy, total lipids, and Cu were reduced in HMC3m compared to HMCI. Ca, Mg, K, Zn, and P increased and the levels of energy, total lipids, and Cu were reduced in HMC6m, compared to HMCI. The present study confirms the possibility of formulation and utilization of the immediate concentrate. Partial stability of HM concentrates generated from freeze-drying of donated milk do not recommend storage.",PloS one,"['D004040', 'D005260', 'D005504', 'D005612', 'D006801', 'D007225', 'D007231', 'D019102', 'D008055', 'D008297', 'D008670', 'D008895']","['Dietary Carbohydrates', 'Female', 'Food Analysis', 'Freeze Drying', 'Humans', 'Infant Food', 'Infant, Newborn', 'Infant, Very Low Birth Weight', 'Lipids', 'Male', 'Metals', 'Milk, Human']",Development of a human milk concentrate with human milk lyophilizate for feeding very low birth weight preterm infants: A preclinical experimental study.,"['Q000032', None, None, None, None, 'Q000032', None, None, 'Q000032', None, 'Q000032', 'Q000737']","['analysis', None, None, None, None, 'analysis', None, None, 'analysis', None, 'analysis', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/30785913,2019,1.0,Oliveira_19,"['FAAS', 'MIRIS']"
20850762.0,To evaluate whether pasteurized donor human milk meets the nutritional needs of preterm infants in terms of free fatty acid and amino acid contents.,The Journal of pediatrics,"['D000328', 'D000596', 'D004281', 'D005260', 'D006801', 'D007231', 'D007234', 'D008895', 'D011446']","['Adult', 'Amino Acids', 'Docosahexaenoic Acids', 'Female', 'Humans', 'Infant, Newborn', 'Infant, Premature', 'Milk, Human', 'Prospective Studies']",Docosahexaenoic Acid and Amino Acid Contents in Pasteurized Donor Milk are Low for Preterm Infants.,"[None, 'Q000032', 'Q000032', None, None, None, None, 'Q000737', None]","[None, 'analysis', 'analysis', None, None, None, None, 'chemistry', None]",https://www.ncbi.nlm.nih.gov/pubmed/20850762,2010,1.0,Valentine_10,[]
12499346.0,"Flaxseed oil is a rich source of 18:3n-3 (alpha-linolenic acid, or ALA), which is ultimately converted to 22:6n-3 (docosahexaenoic acid, or DHA), a fatty acid important for the development of the infant brain and retina.",The American journal of clinical nutrition,"['D000328', 'D004032', 'D004281', 'D005227', 'D005260', 'D006801', 'D007774', 'D008043', 'D008895']","['Adult', 'Diet', 'Docosahexaenoic Acids', 'Fatty Acids', 'Female', 'Humans', 'Lactation', 'Linseed Oil', 'Milk, Human']",Supplementing lactating women with flaxseed oil does not increase docosahexaenoic acid in their milk.,"[None, None, 'Q000032', 'Q000097', None, None, None, 'Q000008', 'Q000737']","[None, None, 'analysis', 'blood', None, None, None, 'administration & dosage', 'chemistry']",https://www.ncbi.nlm.nih.gov/pubmed/12499346,2003,1.0,Francois_03,['GLC']
